nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
92,FP038,"Beef yakiniku, masakan",Daging,Olahan (Processed),67.7 g,132 Kal,9.8 g,1.1 g,20.7 g,0.8 g,302 mg,67 mg,2.0 mg,409 mg,,,,,,0.3 g,78 mcg,,700 mcg,0.62 mg,0 mg
93,NP002,Bekasam (Tiny shrimp fermented),Bumbu,Olahan (Processed),65.5 g,116 Kal,11.9 g,4.9 g,6.1 g,11.6 g,704 mg,757 mg,7.5 mg,711 mg,176.0 mg,0.80 mg,1.9 mg,0.03 mg,2.1 mg,3.5 g,,0 mcg,,0.00 mg,
94,NP003,Bekasang (Fermented fish),Bumbu,Olahan (Processed),67.1 g,78 Kal,11.4 g,2.0 g,3.6 g,15.9 g,54 mg,97 mg,2.6 mg,"4,016 mg",121.0 mg,0.20 mg,4.8 mg,0.12 mg,0.6 mg,0.4 g,,,,0.15 mg,
95,GP001,"Bekicot, dendeng, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),6.7 g,441 Kal,48.7 g,20.3 g,15.8 g,8.4 g,692 mg,523 mg,16.6 mg,,,,,,,0.0 g,6 mcg,,"1,408 mcg",0.56 mg,69 mg
96,FR014,"Belibis, daging, segar (Whistling duck, meat, fresh)",Daging,Mentah (Raw),71.3 g,131 Kal,20.2 g,4.3 g,2.8 g,1.4 g,8 mg,192 mg,9.6 mg,46 mg,104.0 mg,1.20 mg,1.6 mg,0.08 mg,2.7 mg,0.0 g,,0 mcg,,0.37 mg,
97,ER006,"Belimbing, segar (Starfruit, fresh)",Buah,Mentah (Raw),90.0 g,36 Kal,0.4 g,0.4 g,8.8 g,0.4 g,4 mg,12 mg,1.1 mg,4 mg,130.0 mg,,0.1 mg,,,3.2 g,,29 mcg,170 mcg,0.03 mg,35 mg
98,BP004,"Belitung, talas, kukus",Umbi Berpati,Olahan (Processed),63.1 g,145 Kal,1.2 g,0.4 g,34.2 g,1.1 g,21 mg,48 mg,0.9 mg,7 mg,552.6 mg,0.20 mg,0.9 mg,0.10 mg,2.3 mg,1.0 g,0 mcg,0 mcg,0 mcg,0.08 mg,1 mg
99,BR004,"Belitung, talas, segar (Taro, belitung, steamed)",Umbi Berpati,Mentah (Raw),63.1 g,145 Kal,1.2 g,0.4 g,34.2 g,1.1 g,26 mg,54 mg,1.4 mg,6 mg,536.1 mg,0.20 mg,0.9 mg,0.10 mg,2.3 mg,1.5 g,0 mcg,0 mcg,0 mcg,0.10 mg,2 mg
100,GP002,"Belut, goreng (Asian swamp eel, fresh)",Ikan/Kerang/Udang dll,Olahan (Processed),11.2 g,417 Kal,25.9 g,19.4 g,32.0 g,11.5 g,840 mg,872 mg,4.9 mg,71 mg,217.7 mg,0.30 mg,1.8 mg,0.20 mg,10.5 mg,0.0 g,0 mcg,,0 mcg,0.00 mg,0 mg
101,GR001,"Belut, segar (Asian swamp eel, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),81.5 g,70 Kal,14.6 g,0.8 g,1.0 g,2.1 g,49 mg,155 mg,1.5 mg,55 mg,169.0 mg,0.20 mg,1.2 mg,0.12 mg,7.7 mg,0.0 g,,0 mcg,,0.22 mg,
102,GR002,"Belut,laut, segar (Eel, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.5 g,93 Kal,12.8 g,1.5 g,6.1 g,4.1 g,60 mg,199 mg,3.0 mg,33 mg,175.9 mg,0.10 mg,1.0 mg,0.00 mg,2.7 mg,0.0 g,51 mcg,3 mcg,71 mcg,0.06 mg,
103,BR005,"Bengkuang, segar (Yam bean, fresh)",Umbi Berpati,Mentah (Raw),85.1 g,59 Kal,1.4 g,0.2 g,12.8 g,0.5 g,15 mg,18 mg,0.6 mg,2 mg,244.3 mg,0.10 mg,0.3 mg,0.10 mg,0.2 mg,1.0 g,,0 mcg,,0.04 mg,20 mg
104,BR006,"Bentul (Komba),  talas, segar (Taro, bentul, fresh)",Umbi Berpati,Mentah (Raw),75.8 g,98 Kal,1.6 g,0.7 g,20.9 g,1.8 g,44 mg,66 mg,1.5 mg,,195.5 mg,0.20 mg,0.6 mg,0.10 mg,0.8 mg,0.7 g,0 mcg,0 mcg,0 mcg,0.02 mg,0 mg
105,BP005,"Bentul, talas, kukus",Umbi Berpati,Olahan (Processed),81.1 g,71 Kal,2.3 g,0.3 g,15.4 g,0.9 g,29 mg,26 mg,0.6 mg,,201.0 mg,0.20 mg,0.6 mg,0.00 mg,0.0 mg,0.5 g,0 mcg,0 mcg,0 mcg,0.06 mg,21 mg
106,BP019,Beras Cerdas,Umbi Berpati,Olahan (Processed),11.3 g,350 Kal,2.7 g,1.1 g,82.3 g,2.6 g,28 mg,351 mg,2.9 mg,358 mg,568.0 mg,0.20 mg,0.9 mg,0.20 mg,0.3 mg,6.2 g,,0 mcg,0 mcg,0.02 mg,0 mg
107,BP020,Beras ganyong,Umbi Berpati,Olahan (Processed),9.3 g,364 Kal,3.4 g,0.7 g,86.3 g,0.5 g,4 mg,47 mg,5.0 mg,4 mg,72.2 mg,0.20 mg,0.6 mg,0.02 mg,0.3 mg,4.7 g,,1 mcg,0 mcg,0.02 mg,0 mg
108,AR002,"Beras giling var pelita, mentah (Rice, raw)",Serealia,Mentah (Raw),,369 Kal,9.5 g,1.4 g,77.1 g,0.6 g,68 mg,171 mg,1.4 mg,34 mg,0.0 mg,0.00 mg,0.0 mg,0.00 mg,0.0 mg,0.4 g,0 mcg,0 mcg,0 mcg,0.26 mg,0 mg
109,AR003,"Beras giling var rojolele, mentah (Rice. Raw)",Serealia,Mentah (Raw),12.0 g,357 Kal,8.4 g,1.7 g,77.1 g,0.8 g,147 mg,81 mg,1.8 mg,34 mg,112.9 mg,0.14 mg,0.1 mg,0.02 mg,1.5 mg,0.2 g,,0 mcg,80 mcg,0.20 mg,0 mg
110,AR001,"Beras giling, mentah (Rice, raw)",Serealia,Mentah (Raw),,357 Kal,8.4 g,1.7 g,77.1 g,0.8 g,147 mg,81 mg,1.8 mg,27 mg,71.0 mg,0.10 mg,0.5 mg,0.08 mg,2.6 mg,0.2 g,0 mcg,0 mcg,0 mcg,0.20 mg,0 mg
111,AR004,"Beras hitam, mentah (Rice, raw)",Serealia,Mentah (Raw),12.9 g,351 Kal,8.0 g,1.3 g,76.9 g,0.9 g,6 mg,198 mg,0.1 mg,15 mg,105.0 mg,0.10 mg,1.6 mg,0.06 mg,0.0 mg,20.1 g,0 mcg,0 mcg,0 mcg,0.21 mg,0 mg
112,AR005,"Beras jagung kuning, kering, mentah (Corn, yellow",Serealia,Mentah (Raw),10.8 g,358 Kal,5.5 g,0.1 g,82.7 g,0.9 g,20 mg,90 mg,1.4 mg,1 mg,80.0 mg,0.10 mg,4.1 mg,0.08 mg,1.0 mg,10.0 g,,641 mcg,,0.12 mg,3 mg
113,AR006,"Beras jagung putih, kering, mentah (Corn, white, died, crushed, raw)",Serealia,Mentah (Raw),22.5 g,307 Kal,4.8 g,0.1 g,71.8 g,0.8 g,17 mg,78 mg,1.2 mg,1 mg,70.0 mg,0.10 mg,3.5 mg,0.07 mg,0.9 mg,10.0 g,,301 mcg,,0.15 mg,0 mg
114,AR007,"Beras ketan hitam tumbuk, mentah (Glutinous rice, black, husk,raw)",Serealia,Mentah (Raw),13.7 g,360 Kal,8.0 g,2.3 g,74.5 g,1.5 g,10 mg,347 mg,6.2 mg,11 mg,288.0 mg,0.28 mg,2.2 mg,0.10 mg,2.0 mg,1.0 g,0 mcg,0 mcg,0 mcg,0.24 mg,0 mg
115,AR008,"Beras ketan putih tumbuk, mentah (Glutinous rice, white, husk,raw)",Serealia,Mentah (Raw),12.9 g,361 Kal,7.4 g,0.8 g,78.4 g,0.5 g,13 mg,157 mg,3.4 mg,3 mg,282.0 mg,0.28 mg,2.2 mg,0.00 mg,1.4 mg,0.4 g,0 mcg,0 mcg,0 mcg,0.28 mg,0 mg
116,AR009,"Beras ladang, mentah (Rice, raw)",Serealia,Mentah (Raw),9.8 g,376 Kal,7.5 g,3.8 g,78.0 g,0.9 g,20 mg,110 mg,0.8 mg,10 mg,70.0 mg,0.10 mg,1.4 mg,0.20 mg,5.1 mg,5.9 g,0 mcg,0 mcg,,0.20 mg,0 mg
117,AR010,"Beras menir, mentah (Rice, crushed, raw)",Serealia,Mentah (Raw),12.0 g,362 Kal,7.7 g,4.4 g,73.0 g,0.2 g,22 mg,272 mg,3.7 mg,90 mg,201.0 mg,0.10 mg,0.5 mg,0.00 mg,1.9 mg,0.2 g,0 mcg,0 mcg,,0.55 mg,0 mg
118,AR011,"Beras parboiled (Rice, parboiled)",Serealia,Mentah (Raw),10.0 g,353 Kal,6.8 g,0.6 g,80.0 g,2.5 g,5 mg,142 mg,0.8 mg,2 mg,46.0 mg,0.28 mg,1.0 mg,0.11 mg,3.4 mg,0.5 g,0 mcg,0 mcg,,0.22 mg,0 mg
119,BP021,Beras Siger,Umbi Berpati,Olahan (Processed),13.5 g,344 Kal,1.1 g,0.2 g,28.3 g,0.7 g,32 mg,22 mg,5.6 mg,106 mg,77.9 mg,0.10 mg,0.5 mg,0.10 mg,0.2 mg,5.6 g,,0 mcg,0 mcg,0.02 mg,0 mg
120,AR013,"Beras tumbuk merah, mentah (Rice, brown with husk, raw)",Serealia,Mentah (Raw),14.6 g,352 Kal,7.3 g,0.9 g,76.2 g,1.0 g,15 mg,257 mg,4.2 mg,10 mg,202.0 mg,0.36 mg,1.9 mg,0.00 mg,3.3 mg,0.8 g,0 mcg,0 mcg,0 mcg,0.34 mg,0 mg
121,AR012,"Beras tumbuk, mentah (Rice with husk, raw)",Serealia,Mentah (Raw),11.5 g,354 Kal,7.8 g,0.4 g,79.9 g,0.4 g,3 mg,112 mg,0.6 mg,5 mg,85.0 mg,0.50 mg,1.5 mg,0.22 mg,5.1 mg,3.8 g,0 mcg,0 mcg,,0.25 mg,0 mg
122,GP055,"Betok wadi, masakan (Climbing gouramy)",Ikan/Kerang/Udang dll,Olahan (Processed),69.2 g,145 Kal,16.3 g,7.0 g,4.1 g,3.4 g,405 mg,523 mg,1.8 mg,69 mg,203.0 mg,1.00 mg,1.3 mg,,,,,,,0.22 mg,
123,AP007,Bihun goreng instan,Serealia,Olahan (Processed),9.0 g,381 Kal,6.1 g,3.9 g,80.3 g,0.7 g,266 mg,151 mg,2.9 mg,928 mg,,,,,,,58 mcg,,400 mcg,0.37 mg,0 mg
124,AP008,"Bihun Jagung, mentah",Serealia,Olahan (Processed),11.3 g,354 Kal,0.5 g,0.3 g,87.4 g,0.5 g,13 mg,111 mg,0.6 mg,49 mg,1.4 mg,0.40 mg,0.0 mg,0.02 mg,0.3 mg,3.0 g,,0 mcg,0 mcg,0.02 mg,0 mg
125,AP006,"Bihun, mentah",Serealia,Olahan (Processed),12.9 g,348 Kal,4.7 g,0.1 g,82.1 g,0.2 g,6 mg,35 mg,1.8 mg,12 mg,5.0 mg,0.08 mg,0.7 mg,0.00 mg,0.2 mg,1.2 g,0 mcg,0 mcg,0 mcg,0.00 mg,0 mg
126,BP022,Biji nangka/Biji salak,Umbi Berpati,Olahan (Processed),40.5 g,262 Kal,2.3 g,5.4 g,51.1 g,0.7 g,60 mg,80 mg,0.8 mg,10 mg,2.0 mg,0.60 mg,2.0 mg,1.00 mg,,8.0 g,0 mcg,"1,667 mcg",,0.10 mg,10 mg
127,AP035,Bika ambon,Serealia,Olahan (Processed),51.5 g,199 Kal,2.1 g,1.5 g,44.4 g,0.6 g,45 mg,28 mg,1.8 mg,,,,,,0.0 mg,0.3 g,0 mcg,,408 mcg,0.10 mg,0 mg
128,AP036,Bingka,Serealia,Olahan (Processed),44.4 g,273 Kal,5.3 g,10.6 g,39.1 g,0.6 g,,,,,,,,,,,,,,,
129,AP029,Biskuit,Serealia,Olahan (Processed),2.2 g,458 Kal,6.9 g,14.4 g,75.1 g,1.4 g,62 mg,87 mg,2.7 mg,241 mg,20.3 mg,0.16 mg,0.6 mg,0.15 mg,1.4 mg,2.1 g,0 mcg,14 mcg,,0.09 mg,0 mg
130,DR010,"Bit, segar (Beet, fresh)",Sayuran,Mentah (Raw),87.6 g,41 Kal,1.6 g,0.1 g,9.6 g,1.1 g,27 mg,43 mg,1.0 mg,29 mg,404.9 mg,0.20 mg,0.7 mg,0.05 mg,0.3 mg,2.6 g,,0 mcg,20 mcg,0.02 mg,10 mg
131,ER007,"Biwah, segar (Loquat, fresh)",Buah,Mentah (Raw),87.1 g,51 Kal,0.3 g,0.1 g,12.1 g,0.5 g,220 mg,14 mg,0.8 mg,1 mg,258.6 mg,0.04 mg,0.0 mg,0.02 mg,0.0 mg,0.7 g,0 mcg,,"12,256 mcg",0.10 mg,4 mg
132,AP037,Bobengka,Serealia,Olahan (Processed),46.3 g,225 Kal,5.3 g,2.6 g,45.2 g,0.6 g,,,,,,,,,,,,,,,
133,AP038,Bolu peca,Serealia,Olahan (Processed),55.6 g,197 Kal,3.3 g,4.6 g,35.6 g,0.9 g,,0 mg,0.0 mg,0 mg,0.0 mg,,,0.00 mg,0.0 mg,,,,,,0 mg
134,NR009,"Boros kunci, segar (Rhizomes / Kaemper / Chinesedey)",Bumbu,Mentah (Raw),90.0 g,40 Kal,1.0 g,0.8 g,7.2 g,1.0 g,50 mg,50 mg,2.0 mg,33 mg,480.0 mg,0.02 mg,0.3 mg,0.68 mg,1.7 mg,1.0 g,,0 mcg,"5,000 mcg",0.08 mg,50 mg
135,NR010,"Boros laja (lengkuas), segar (Rhizomes / Galanga)",Bumbu,Mentah (Raw),93.0 g,26 Kal,1.0 g,0.3 g,4.7 g,1.0 g,50 mg,50 mg,2.0 mg,24 mg,137.1 mg,0.07 mg,0.3 mg,0.06 mg,0.3 mg,1.1 g,,5 mcg,"5,000 mcg",0.08 mg,50 mg
136,DP027,Botok lamtoro,Sayuran,Olahan (Processed),63.9 g,186 Kal,11.7 g,9.7 g,13.0 g,2.2 g,771 mg,322 mg,26.0 mg,,,,,,,2.1 g,18 mcg,,179 mcg,0.27 mg,2 mg
137,GP056,"Bou ninahu ndamate, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),79.5 g,79 Kal,6.3 g,1.0 g,1.1 g,2.1 g,,,,67 mg,,,,0.00 mg,0.1 mg,,691 mcg,,,0.10 mg,
138,GP057,"Bouiki ninahu nggaluku, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),73.9 g,94 Kal,7.8 g,2.2 g,10.8 g,5.3 g,,,,58 mg,179.4 mg,,1.5 mg,0.03 mg,2.4 mg,,,,,0.50 mg,
139,AP039,Brem,Serealia,Olahan (Processed),37.4 g,249 Kal,3.4 g,0.4 g,58.0 g,0.9 g,198 mg,86 mg,2.0 mg,,,,,0.00 mg,0.0 mg,0.0 g,0 mcg,,240 mcg,0.34 mg,0 mg
140,FP039,Brongkos,Daging,Olahan (Processed),76.4 g,141 Kal,15.3 g,3.3 g,12.6 g,2.4 g,87 mg,97 mg,5.1 mg,,,,,,,1.0 g,4 mcg,,356 mcg,0.40 mg,0 mg
141,ER008,"Buah atung, segar",Buah,Mentah (Raw),92.0 g,23 Kal,0.8 g,0.2 g,5.2 g,1.8 g,30 mg,50 mg,4.6 mg,,,,,,,,,,0 mcg,0.29 mg,38 mg
142,ER009,"Buah kelenting, segar",Buah,Mentah (Raw),73.9 g,110 Kal,1.4 g,2.1 g,21.4 g,1.2 g,8 mg,102 mg,1.1 mg,2 mg,0.0 mg,0.30 mg,0.9 mg,0.10 mg,,,,,,0.20 mg,6 mg
143,DR011,"Buah kelor (West Indian bean, fruit)",Sayuran,Mentah (Raw),89.5 g,38 Kal,1.5 g,0.2 g,7.5 g,1.3 g,30 mg,54 mg,0.0 mg,48 mg,216.0 mg,0.00 mg,0.2 mg,0.10 mg,4.1 mg,3.2 g,,31 mcg,,0.10 mg,25 mg
144,ER010,"Buah kom, segar",Buah,Mentah (Raw),33.7 g,264 Kal,4.0 g,1.1 g,59.6 g,1.7 g,306 mg,92 mg,0.8 mg,,,,,,0.0 mg,9.0 g,0 mcg,,400 mcg,0.11 mg,9 mg
145,ER011,"Buah mentega (Bisbul), segar (Persimmons, japanese, fresh)",Buah,Mentah (Raw),89.0 g,39 Kal,0.7 g,0.2 g,9.7 g,0.4 g,43 mg,17 mg,0.8 mg,1 mg,90.0 mg,0.06 mg,0.1 mg,0.01 mg,0.1 mg,2.0 g,,141 mcg,55 mcg,0.02 mg,33 mg
146,DR012,Buah merah (Red fruit),Sayuran,Mentah (Raw),81.2 g,87 Kal,2.6 g,2.7 g,13.1 g,0.4 g,30 mg,1 mg,1.1 mg,110 mg,140.0 mg,0.10 mg,0.3 mg,0.10 mg,0.2 mg,4.0 g,0 mcg,0 mcg,,1.50 mg,15 mg
147,ER012,"Buah Naga Merah, segar",Buah,Mentah (Raw),85.7 g,71 Kal,1.7 g,3.1 g,9.1 g,0.4 g,13 mg,14 mg,0.4 mg,10 mg,128.0 mg,0.00 mg,0.4 mg,0.30 mg,0.5 mg,3.2 g,,0 mcg,0 mcg,0.50 mg,1 mg
148,ER013,"Buah Naga Putih, segar",Buah,Mentah (Raw),86.6 g,56 Kal,0.8 g,1.0 g,10.9 g,0.6 g,13 mg,27 mg,0.5 mg,7 mg,231.0 mg,0.00 mg,0.4 mg,0.50 mg,0.9 mg,3.2 g,,0 mcg,0 mcg,0.02 mg,1 mg
149,ER014,"Buah negri, segar (Passion-fruit (granadilla), fresh)",Buah,Mentah (Raw),85.7 g,55 Kal,1.2 g,0.1 g,12.2 g,0.8 g,30 mg,40 mg,0.2 mg,10 mg,0.0 mg,0.10 mg,0.3 mg,0.03 mg,0.1 mg,5.2 g,,460 mcg,,0.33 mg,9 mg
150,ER015,"Buah nona, segar (Sugarapple, fresh)",Buah,Mentah (Raw),71.5 g,101 Kal,1.7 g,0.6 g,25.2 g,1.0 g,27 mg,20 mg,0.8 mg,5 mg,312.5 mg,325.70 mg,0.1 mg,0.16 mg,0.9 mg,2.8 g,,49 mcg,,0.08 mg,22 mg
151,ER016,"Buah rotan, segar",Buah,Mentah (Raw),79.4 g,78 Kal,0.6 g,0.3 g,18.2 g,1.5 g,1 mg,7 mg,3.4 mg,7 mg,495.0 mg,0.30 mg,0.7 mg,0.00 mg,,,,,,0.12 mg,5 mg
152,ER017,"Buah rukam, segar (Rukam, fresh)",Buah,Mentah (Raw),71.3 g,113 Kal,0.8 g,0.3 g,26.8 g,0.8 g,108 mg,52 mg,1.2 mg,2 mg,219.0 mg,0.30 mg,0.9 mg,0.01 mg,,7.7 g,,17 mcg,,0.06 mg,20 mg
153,ER018,"Buah ruruhi, segar",Buah,Mentah (Raw),93.0 g,29 Kal,2.1 g,0.7 g,3.6 g,0.3 g,6 mg,7 mg,0.0 mg,36 mg,45.0 mg,0.00 mg,0.1 mg,0.01 mg,,2.6 g,,7 mcg,,0.06 mg,10 mg
154,ER019,"Buah tuppa, segar",Buah,Mentah (Raw),82.5 g,67 Kal,0.4 g,0.2 g,15.9 g,1.0 g,12 mg,139 mg,0.5 mg,2 mg,0.0 mg,0.20 mg,0.5 mg,0.01 mg,,,,,,0.04 mg,5 mg
155,FP004,"Buaya, daging, dendeng, mentah",Daging,Olahan (Processed),12.3 g,365 Kal,49.6 g,4.8 g,30.8 g,2.5 g,60 mg,130 mg,4.3 mg,500 mg,680.0 mg,0.20 mg,11.6 mg,,0.2 mg,,,0 mcg,,,
156,BP023,Bubur sagu,Umbi Berpati,Olahan (Processed),62.5 g,167 Kal,0.2 g,4.0 g,33.0 g,0.3 g,3 mg,3 mg,0.1 mg,7 mg,0.0 mg,0.10 mg,0.1 mg,,0.1 mg,,0 mcg,0 mcg,0 mcg,9.00 mg,0 mg
157,AP040,Bubur tinotuan (Manado),Serealia,Olahan (Processed),80.9 g,156 Kal,2.3 g,0.2 g,15.6 g,1.0 g,41 mg,20 mg,0.4 mg,486 mg,164.0 mg,0.30 mg,0.4 mg,0.04 mg,,8.2 g,,"1,437 mcg",,0.10 mg,15 mg
158,FP040,"Bulgogi, masakan",Daging,Olahan (Processed),84.2 g,72 Kal,11.4 g,4.9 g,1.4 g,0.7 g,214 mg,86 mg,2.5 mg,509 mg,,,,,,1.7 g,17 mcg,,,1.08 mg,0 mg
159,DP003,"Buncis, rebus",Sayuran,Olahan (Processed),90.6 g,30 Kal,2.2 g,0.2 g,6.4 g,0.6 g,107 mg,47 mg,0.5 mg,7 mg,138.9 mg,0.10 mg,0.3 mg,0.29 mg,2.0 mg,1.5 g,,1 mcg,402 mcg,0.01 mg,8 mg
160,DR013,"Buncis, segar (Green bean, fresh)",Sayuran,Mentah (Raw),89.6 g,34 Kal,2.4 g,0.3 g,7.2 g,0.5 g,101 mg,42 mg,0.7 mg,8 mg,250.0 mg,0.07 mg,0.3 mg,0.40 mg,2.8 mg,1.9 g,0 mcg,772 mcg,550 mcg,0.05 mg,11 mg
161,DR014,"Bunga pepaya, segar (Papaya, flower, fresh)",Sayuran,Mentah (Raw),87.3 g,45 Kal,2.6 g,0.3 g,8.1 g,1.7 g,290 mg,113 mg,4.2 mg,2 mg,478.3 mg,0.08 mg,0.8 mg,0.28 mg,1.0 mg,1.6 g,,"2,792 mcg",5 mcg,0.01 mg,23 mg
162,DR015,"Bunga turi, segar (Hummingbird tree)",Sayuran,Mentah (Raw),90.4 g,42 Kal,2.0 g,1.1 g,6.1 g,0.4 g,28 mg,23 mg,0.8 mg,29 mg,97.4 mg,0.10 mg,0.6 mg,0.02 mg,0.4 mg,3.3 g,,"1,200 mcg",0 mcg,0.50 mg,1 mg
163,CP020,Bungkil biji karet,Kacang-Kacangan,Olahan (Processed),12.0 g,333 Kal,29.3 g,3.3 g,50.0 g,29.4 g,102 mg,660 mg,12.0 mg,,,,,,,,0 mcg,,,0.10 mg,0 mg
164,CP021,Bungkil kacang tanah,Kacang-Kacangan,Olahan (Processed),14.0 g,336 Kal,37.4 g,13.0 g,30.5 g,33.1 g,730 mg,470 mg,30.7 mg,,,,,,,,0 mcg,,,0.04 mg,
165,CP022,Bungkil kelapa,Kacang-Kacangan,Olahan (Processed),16.0 g,368 Kal,23.0 g,15.0 g,40.0 g,38.0 g,137 mg,433 mg,41.5 mg,,,,,0.46 mg,8.9 mg,,0 mcg,,,0.00 mg,
166,DP028,Buntil daun talas,Sayuran,Olahan (Processed),74.5 g,141 Kal,4.4 g,10.2 g,8.0 g,3.0 g,149 mg,121 mg,14.5 mg,,,,,,,1.8 g,13 mcg,,"8,610 mcg",0.25 mg,1 mg
167,FR015,"Burung, sarang, segar",Daging,Mentah (Raw),24.8 g,281 Kal,37.5 g,0.3 g,32.1 g,5.3 g,485 mg,18 mg,3.0 mg,,,,,,,,0 mcg,,,,0 mg
168,NR011,"Cabai gembor merah, segar (Chili papper)",Bumbu,Mentah (Raw),90.8 g,38 Kal,1.6 g,0.8 g,6.3 g,0.6 g,49 mg,41 mg,1.1 mg,7 mg,275.3 mg,0.12 mg,0.2 mg,0.12 mg,0.0 mg,1.6 g,,"5,897 mcg","3,240 mcg",0.21 mg,16 mg
169,NR012,"Cabai hijau, segar (Chili papper)",Bumbu,Mentah (Raw),93.4 g,26 Kal,0.7 g,0.3 g,5.2 g,0.4 g,14 mg,23 mg,0.4 mg,7 mg,151.0 mg,0.08 mg,0.2 mg,0.06 mg,0.4 mg,2.6 g,,44 mcg,260 mcg,0.05 mg,84 mg
170,NR013,"Cabai merah, kering (Chili papper)",Bumbu,Mentah (Raw),10.0 g,367 Kal,15.9 g,6.2 g,61.8 g,6.1 g,160 mg,370 mg,2.3 mg,25 mg,181.5 mg,1.20 mg,1.8 mg,1.36 mg,4.4 mg,26.9 g,,"10,955 mcg",576 mcg,0.40 mg,50 mg
171,NR014,"Cabai merah, segar (Chili papper)",Bumbu,Mentah (Raw),90.9 g,36 Kal,1.0 g,0.3 g,7.3 g,0.5 g,29 mg,24 mg,0.5 mg,23 mg,272.4 mg,0.12 mg,0.2 mg,0.09 mg,3.0 mg,1.4 g,,"5,833 mcg",470 mcg,0.05 mg,18 mg
172,NR015,"Cabai rawit, segar (Chili papper)",Bumbu,Mentah (Raw),71.2 g,120 Kal,4.7 g,2.4 g,19.9 g,1.8 g,45 mg,85 mg,2.5 mg,34 mg,706.2 mg,0.29 mg,0.6 mg,0.09 mg,1.7 mg,15.2 g,,"1,694 mcg","11,050 mcg",0.24 mg,70 mg
173,DR016,"Caisin, segar (Caisin, fresh)",Sayuran,Mentah (Raw),93.6 g,20 Kal,1.7 g,0.4 g,3.4 g,0.9 g,123 mg,40 mg,1.9 mg,18 mg,358.2 mg,0.05 mg,1.4 mg,0.19 mg,0.6 mg,1.2 g,,"1,675 mcg","4,188 mcg",0.04 mg,3 mg
174,GP058,Cakalang asar (asap),Ikan/Kerang/Udang dll,Olahan (Processed),64.3 g,155 Kal,20.1 g,3.8 g,10.2 g,1.6 g,20 mg,240 mg,2.1 mg,90 mg,390.0 mg,0.30 mg,0.1 mg,0.70 mg,0.2 mg,,86 mcg,,,,
175,AP041,Cake tape,Serealia,Olahan (Processed),32.2 g,323 Kal,4.9 g,11.5 g,50.1 g,1.4 g,131 mg,83 mg,2.6 mg,,,,,0.16 mg,0.3 mg,1.4 g,26 mcg,,"1,872 mcg",0.38 mg,0 mg
176,DP029,Cammetutu,Sayuran,Olahan (Processed),79.6 g,102 Kal,3.2 g,6.0 g,8.7 g,2.5 g,41 mg,93 mg,0.5 mg,443 mg,518.0 mg,0.30 mg,0.7 mg,0.40 mg,0.4 mg,4.3 g,,"1,123 mcg",,0.30 mg,19 mg
177,AP042,Cangkuning,Serealia,Olahan (Processed),57.5 g,204 Kal,2.8 g,7.5 g,31.4 g,0.8 g,,,,,,,,,,,,,,,
178,AR014,"Cantel, mentah (Sorghum, raw)",Serealia,Mentah (Raw),11.0 g,366 Kal,11.0 g,3.3 g,73.0 g,1.7 g,28 mg,287 mg,4.4 mg,7 mg,249.0 mg,,,0.14 mg,2.8 mg,1.2 g,0 mcg,0 mcg,,0.09 mg,0 mg
179,DP030,"Cap cai, sayur",Sayuran,Olahan (Processed),82.7 g,97 Kal,5.8 g,6.3 g,4.2 g,1.0 g,287 mg,89 mg,1.8 mg,405 mg,,,,,,0.6 g,45 mcg,,"1,640 mcg",0.21 mg,1 mg
180,ER020,"Carica papaya, segar (Papaya)",Buah,Mentah (Raw),93.4 g,24 Kal,1.9 g,0.2 g,3.7 g,0.9 g,51 mg,33 mg,1.8 mg,,,,,0.07 mg,0.0 mg,1.0 g,0 mcg,0 mcg,"1,000 mcg",0.32 mg,85 mg
181,BP024,Cassavastick,Umbi Berpati,Olahan (Processed),5.6 g,460 Kal,0.8 g,18.7 g,17.2 g,2.7 g,144 mg,58 mg,7.5 mg,,,,,0.07 mg,0.1 mg,1.6 g,0 mcg,,107 mcg,0.19 mg,0 mg
182,ER021,"Cempedak, segar (Chempedak)",Buah,Mentah (Raw),67.0 g,116 Kal,3.0 g,0.4 g,28.6 g,1.0 g,20 mg,30 mg,1.5 mg,25 mg,243.7 mg,,,,0.5 mg,3.4 g,,79 mcg,200 mcg,0.00 mg,15 mg
183,NR016,"Cengkeh, kering (Cloves, dried)",Bumbu,Mentah (Raw),23.3 g,330 Kal,5.2 g,8.9 g,57.4 g,5.2 g,740 mg,100 mg,4.9 mg,282 mg,961.0 mg,0.30 mg,0.0 mg,0.00 mg,0.0 mg,10.0 g,,265 mcg,,200.00 mg,
